human	Human	https://en.wikipedia.org/wiki/Human
dog	Dog	https://en.wikipedia.org/wiki/Dog
cat	Cat	https://en.wikipedia.org/wiki/Cat
cow	Cattle	https://en.wikipedia.org/wiki/Cattle
whale	Blue_whale	https://en.wikipedia.org/wiki/Blue_whale
bat	Bat	https://en.wikipedia.org/wiki/Bat
chicken	Chicken	https://en.wikipedia.org/wiki/Chicken
eagle	Bald_eagle	https://en.wikipedia.org/wiki/Bald_eagle
penguin	Penguin	https://en.wikipedia.org/wiki/Penguin
feather-anatomy	Feather	https://en.wikipedia.org/wiki/Feather
snake	Snake	https://en.wikipedia.org/wiki/Snake
lizard	Lizard	https://en.wikipedia.org/wiki/Lizard
turtle	Turtle	https://en.wikipedia.org/wiki/Turtle
crocodile	Crocodile	https://en.wikipedia.org/wiki/Crocodile
frog	Frog	https://en.wikipedia.org/wiki/Frog
salamander	Salamander	https://en.wikipedia.org/wiki/Salamander
bony-fish	European_perch	https://en.wikipedia.org/wiki/European_perch
shark	Shark	https://en.wikipedia.org/wiki/Shark
gill-anatomy	Gill	https://en.wikipedia.org/wiki/Gill
butterfly	Butterfly	https://en.wikipedia.org/wiki/Butterfly
beetle	Beetle	https://en.wikipedia.org/wiki/Beetle
bee	Western_honey_bee	https://en.wikipedia.org/wiki/Western_honey_bee
ant	Ant	https://en.wikipedia.org/wiki/Ant
dragonfly	Dragonfly	https://en.wikipedia.org/wiki/Dragonfly
insect-body	Insect	https://en.wikipedia.org/wiki/Insect
spider	Spider	https://en.wikipedia.org/wiki/Spider
shrimp	Shrimp	https://en.wikipedia.org/wiki/Shrimp
crab	Crab	https://en.wikipedia.org/wiki/Crab
octopus	Octopus	https://en.wikipedia.org/wiki/Octopus
snail	Snail	https://en.wikipedia.org/wiki/Snail
earthworm	Earthworm	https://en.wikipedia.org/wiki/Earthworm
starfish	Starfish	https://en.wikipedia.org/wiki/Starfish
jellyfish	Jellyfish	https://en.wikipedia.org/wiki/Jellyfish
flower	Flower	https://en.wikipedia.org/wiki/Flower
leaf	Leaf	https://en.wikipedia.org/wiki/Leaf
root	Root	https://en.wikipedia.org/wiki/Root
stem	Plant_stem	https://en.wikipedia.org/wiki/Plant_stem
seed	Seed	https://en.wikipedia.org/wiki/Seed
whole-plant	Plant	https://en.wikipedia.org/wiki/Plant
pine	Pine	https://en.wikipedia.org/wiki/Pine
fern	Fern	https://en.wikipedia.org/wiki/Fern
moss	Moss	https://en.wikipedia.org/wiki/Moss
algae	Kelp	https://en.wikipedia.org/wiki/Kelp
mushroom	Mushroom	https://en.wikipedia.org/wiki/Mushroom
mold	Mold	https://en.wikipedia.org/wiki/Mold
